DistanceFromCenterOfRotation,DistanceFromBladeMTGFace,ChordLength,BladeTwist,Airfoil
1300,0,2400,9.5,circle
2325,1025,2358,9.5,circle
3450,2150,2259,9.5,circle
5450,4150,2338,9.5,circle
7450,6150,2339,9.5,circle
9300,8000,2848,9.5,circle
11625,10325,3708,9.5,DU 97-W-300
12555,11255,3672,8.3,DU 97-W-300
13950,12650,3418,7.3,DU 97-W-300
15113,13813,3196,6.4,DU 97-W-300
16275,14975,3002,5.6,DU 97-W-300
17438,16138,2833,4.9,DU 97-W-300
18600,17300,2687,4.3,DU 97-W-300
19763,18463,2561,3.8,DU 97-W-300
20925,19625,2452,3.3,DU 97-W-300
22088,20788,2358,2.9,DU 97-W-300
23250,21950,2276,2.6,DU 91-W2-250
24413,23113,2203,2.3,DU 91-W2-250
25575,24275,2138,2.1,DU 91-W2-250
26738,25438,2078,1.8,DU 91-W2-250
27900,26600,2018,1.6,DU 91-W2-250
29063,27763,1958,1.4,DU 91-W2-250
30225,28925,1898,1.2,DU 91-W2-250
31388,30088,1838,0.9,DU 91-W2-250
32550,31250,1778,0.7,DU 91-W2-250
33713,32413,1718,0.5,DU 91-W2-250
34875,33575,1658,0.2,DU 93-W-210
36038,34738,1598,0,DU 93-W-210
37200,35900,1538,-0.2,DU 93-W-210
38363,37063,1478,-0.5,DU 93-W-210
39525,38225,1418,-0.7,DU 93-W-210
40688,39388,1358,-0.9,DU 93-W-210
41850,40550,1298,-1.2,DU 93-W-210
43013,41713,1238,-1.6,DU 93-W-210
44175,42875,1178,-1.6,DU 96-W-180
45570,44270,1106,-1.9,DU 96-W-180
46500,45200,1067,-2,DU 96-W-180
47070,45770,1028,-2.2,DU 96-W-180
47256,45956,995,-1.4,DU 96-W-180
47442,46142,905,-0.6,DU 96-W-180
47628,46328,748,0.2,DU 96-W-180
47814,46514,501,1,DU 96-W-180
48000,46700,70,1.8,DU 96-W-180
